district,crop,season,year,avg_percent,payout
Ratnagiri,Mango,Rabi,2020,9.55,13370
Ratnagiri,Mango,Rabi,2021,0,0
Ratnagiri,Mango,Rabi,2022,0,0
Ratnagiri,Mango,Rabi,2023,4,5600
Sangli,Pomegranate,Kharif,2020,0,0
Sangli,Pomegranate,Kharif,2021,20,26000
Sangli,Pomegranate,Kharif,2022,0,0
Sangli,Pomegranate,Kharif,2023,37.8,49140
Sangli,Pomegranate,Rabi,2020,0,0
Sangli,Pomegranate,Rabi,2021,0,0
Sangli,Pomegranate,Rabi,2022,0,0
Sangli,Pomegranate,Rabi,2023,0,0
Sangli,Mango,Kharif,2020,0,0
Sangli,Mango,Kharif,2021,0,0
Sangli,Mango,Kharif,2022,0,0
Sangli,Mango,Kharif,2023,0,0
Sangli,Mango,Rabi,2020,24.87,34825
Sangli,Mango,Rabi,2021,17.72,24815
Sangli,Mango,Rabi,2022,41.45,58030
Sangli,Mango,Rabi,2023,58.6,82040
Satara,Pomegranate,Kharif,2020,0,0
Satara,Pomegranate,Kharif,2021,10,13000
Satara,Pomegranate,Kharif,2022,0,0
Satara,Pomegranate,Kharif,2023,9.28,12057.5
Satara,Pomegranate,Rabi,2020,0,0
Satara,Pomegranate,Rabi,2021,0,0
Satara,Pomegranate,Rabi,2022,0,0
Satara,Pomegranate,Rabi,2023,0,0
Satara,Mango,Kharif,2020,0,0
Satara,Mango,Kharif,2021,0,0
Satara,Mango,Kharif,2022,0,0
Satara,Mango,Kharif,2023,0,0
Satara,Mango,Rabi,2020,19.28,26985
Satara,Mango,Rabi,2021,19.82,27755
Satara,Mango,Rabi,2022,24.13,33775
Satara,Mango,Rabi,2023,29.8,41720
Sindhudurg,Pomegranate,Kharif,2020,0,0
Sindhudurg,Pomegranate,Kharif,2021,9.75,12675
Sindhudurg,Pomegranate,Kharif,2022,0,0
Sindhudurg,Pomegranate,Kharif,2023,9.93,12902.5
Sindhudurg,Pomegranate,Rabi,2020,0,0
Sindhudurg,Pomegranate,Rabi,2021,0,0
Sindhudurg,Pomegranate,Rabi,2022,0,0
Sindhudurg,Pomegranate,Rabi,2023,0,0
Sindhudurg,Mango,Kharif,2020,0,0
Sindhudurg,Mango,Kharif,2021,0,0
Sindhudurg,Mango,Kharif,2022,0,0
Sindhudurg,Mango,Kharif,2023,0,0
Sindhudurg,Mango,Rabi,2020,16.05,22470
Sindhudurg,Mango,Rabi,2021,0,0
Sindhudurg,Mango,Rabi,2022,9.98,13965
Sindhudurg,Mango,Rabi,2023,2.25,3150
Solapur,Pomegranate,Kharif,2020,9.75,12675
Solapur,Pomegranate,Kharif,2021,19.18,24927.5
Solapur,Pomegranate,Kharif,2022,30,39000
Solapur,Pomegranate,Kharif,2023,40,52000
Solapur,Pomegranate,Rabi,2020,0,0
Solapur,Pomegranate,Rabi,2021,0,0
Solapur,Pomegranate,Rabi,2022,0,0
Solapur,Pomegranate,Rabi,2023,0,0
Solapur,Mango,Kharif,2020,0,0
Solapur,Mango,Kharif,2021,0,0
Solapur,Mango,Kharif,2022,0,0
Solapur,Mango,Kharif,2023,0,0
Solapur,Mango,Rabi,2020,35.08,49105
Solapur,Mango,Rabi,2021,38.22,53515
Solapur,Mango,Rabi,2022,51.52,72135
Solapur,Mango,Rabi,2023,57.3,80220
Thane,Pomegranate,Kharif,2020,0,0
Thane,Pomegranate,Kharif,2021,9.5,12350
